datetime	lightClimate	lakeID
2013-07-26	216.618834518835	EL
2013-07-27	42.6480642442775	EL
2013-07-28	23.2423161117623	EL
2013-07-29	462.715698716938	EL
2013-07-30	216.633760611656	EL
2013-07-31	323.572467723564	EL
2013-08-01	479.683785367278	EL
2013-08-02	508.325412426072	EL
2013-08-03	477.238389641141	EL
2013-08-04	421.047973869188	EL
2013-08-05	89.3203397371365	EL
2013-08-06	435.422923246754	EL
2013-08-07	356.577978319226	EL
2013-08-08	227.032392919589	EL
2013-08-09	307.104528363616	EL
2013-08-10	406.406283792705	EL
2013-08-11	309.614119240469	EL
2013-08-12	429.790501645411	EL
2013-08-13	388.143887335654	EL
2013-08-14	371.200333698432	EL
2013-08-15	459.160333070456	EL
2013-08-16	477.479878786896	EL
2013-08-17	506.817668237032	EL
